Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004871415.1,Q14157,Mus musculus,Ubap2,Ubiquitin-associated protein 2-like OS=Homo ,6.00E-69
XP_004871401.1,Q7Z7E8,Mus musculus,CG4502,Ubiquitin-conjugating enzyme E2 Q1 OS=Homo ,2.00E-51
XP_004871395.1,P58391,Mus musculus,KCNN3,Small conductance calcium-activated potassium ,0
XP_004871394.1,P58391,Mus musculus,KCNN3,Small conductance calcium-activated potassium ,0
XP_004871393.1,P58391,Mus musculus,KCNN3,Small conductance calcium-activated potassium ,0
XP_004871382.1,P29353,Mus musculus,Shc1,SHC-transforming protein 1 OS=Homo sapiens ,0
XP_004871381.1,P29353,Mus musculus,Shc1,SHC-transforming protein 1 OS=Homo sapiens ,0
XP_004871380.1,P61025,Mus musculus,CKS1B,Cyclin-dependent kinases regulatory subunit ,5.00E-52
XP_004871379.1,Q8NFF5,Mus musculus,flad1,FAD synthetase OS=Homo sapiens GN=FLAD1 ,3.00E-137
XP_004871378.1,Q8NFF5,Mus musculus,flad1,FAD synthetase OS=Homo sapiens GN=FLAD1 ,0
XP_004871377.1,Q8NFF5,Mus musculus,flad1,FAD synthetase OS=Homo sapiens GN=FLAD1 ,0
XP_004871366.1,O88839,Mus musculus,ADAM15,Disintegrin and metalloproteinase domain-containing ,0
XP_004871361.1,P52797,Mus musculus,Efna5,Ephrin-A3 OS=Homo sapiens GN=EFNA3 PE=1 ,3.00E-43
XP_004871360.1,P52797,Mus musculus,Efna5,Ephrin-A3 OS=Homo sapiens GN=EFNA3 PE=1 ,8.00E-38
XP_004871359.1,P52797,Mus musculus,Efna5,Ephrin-A3 OS=Homo sapiens GN=EFNA3 PE=1 ,9.00E-38
XP_004871358.1,P97553,Mus musculus,EFNA1,Ephrin-A1 OS=Rattus norvegicus GN=Efna1 PE=2 ,5.00E-106
XP_004871357.1,P97553,Mus musculus,EFNA1,Ephrin-A1 OS=Rattus norvegicus GN=Efna1 PE=2 ,5.00E-125
XP_004871353.1,Q9BRV3,Mus musculus,Rag1ap1,RAG1-activating protein 1 OS=Homo sapiens ,4.00E-67
XP_004871343.1,P49746,Mus musculus,COMP,Thrombospondin-3 OS=Homo sapiens GN=THBS3 ,0
XP_004871342.1,P49746,Mus musculus,COMP,Thrombospondin-3 OS=Homo sapiens GN=THBS3 ,0
XP_004871341.1,P49746,Mus musculus,COMP,Thrombospondin-3 OS=Homo sapiens GN=THBS3 ,0
XP_004871340.1,P49746,Mus musculus,COMP,Thrombospondin-3 OS=Homo sapiens GN=THBS3 ,0
XP_004871339.1,P49746,Mus musculus,COMP,Thrombospondin-3 OS=Homo sapiens GN=THBS3 ,0
XP_004871338.1,P49746,Mus musculus,COMP,Thrombospondin-3 OS=Homo sapiens GN=THBS3 ,0
XP_004871329.1,P30613,Mus musculus,Pklr,Pyruvate kinase isozymes R/L OS=Homo sapiens ,0
XP_004871328.1,P30613,Mus musculus,Pklr,Pyruvate kinase isozymes R/L OS=Homo sapiens ,0
XP_004871327.1,P30613,Mus musculus,Pklr,Pyruvate kinase isozymes R/L OS=Homo sapiens ,0
XP_004871326.1,P30613,Mus musculus,Pklr,Pyruvate kinase isozymes R/L OS=Homo sapiens ,0
XP_004871325.1,O88705,Mus musculus,HCN4,Potassium/sodium hyperpolarization-activated ,0
XP_004871324.1,O88705,Mus musculus,HCN4,Potassium/sodium hyperpolarization-activated ,0
XP_004871323.1,O88705,Mus musculus,HCN4,Potassium/sodium hyperpolarization-activated ,0
XP_004871312.1,Q9D3W5,Mus musculus,C1orf92,Leucine-rich repeat-containing protein ,3.00E-162
XP_004871301.1,Q9XSK7,Mus musculus,Hdgf,Hepatoma-derived growth factor OS=Bos taurus ,1.00E-117
XP_004871300.1,Q66H47,Mus musculus,MRPL24,"39S ribosomal protein L24, mitochondrial OS=Rattus ",1.00E-138
XP_004871299.1,Q66H47,Mus musculus,MRPL24,"39S ribosomal protein L24, mitochondrial OS=Rattus ",1.00E-138
XP_004871298.1,Q66H47,Mus musculus,MRPL24,"39S ribosomal protein L24, mitochondrial OS=Rattus ",1.00E-138
XP_004871297.1,Q66H47,Mus musculus,MRPL24,"39S ribosomal protein L24, mitochondrial OS=Rattus ",1.00E-138
XP_004871294.1,Q96FB5,Mus musculus,C1orf66,UPF0431 protein C1orf66 OS=Homo sapiens ,0
XP_004871290.1,P48681,Mus musculus,Nes,Nestin OS=Homo sapiens GN=NES PE=1 SV=2,0
XP_004871255.1,Q9UPR3,Mus musculus,Smg7,Protein SMG5 OS=Homo sapiens GN=SMG5 PE=1 ,9.00E-14
XP_004871245.1,Q6P1K2,Mus musculus,Pmf1,Polyamine-modulated factor 1 OS=Homo sapiens ,3.00E-70
XP_004871244.1,Q6P1K2,Mus musculus,Pmf1,Polyamine-modulated factor 1 OS=Homo sapiens ,1.00E-64
XP_004871243.1,Q9H3S1,Mus musculus,SEMA4A,Semaphorin-4A OS=Homo sapiens GN=SEMA4A ,0
XP_004871242.1,Q9H3S1,Mus musculus,SEMA4A,Semaphorin-4A OS=Homo sapiens GN=SEMA4A ,0
XP_004871241.1,Q9H3S1,Mus musculus,SEMA4A,Semaphorin-4A OS=Homo sapiens GN=SEMA4A ,0
XP_004871240.1,Q9H3S1,Mus musculus,SEMA4A,Semaphorin-4A OS=Homo sapiens GN=SEMA4A ,0
XP_004871231.1,Q9NRR5,Mus musculus,UBQLN1,Ubiquilin-4 OS=Homo sapiens GN=UBQLN4 PE=1 ,1.00E-134
XP_004871230.1,Q9NRR5,Mus musculus,UBQLN1,Ubiquilin-4 OS=Homo sapiens GN=UBQLN4 PE=1 ,1.00E-109
XP_004871212.1,Q8TDU9,Mus musculus,AGTR1,Relaxin-3 receptor 2 OS=Homo sapiens GN=RXFP4 ,8.00E-26
XP_004871211.1,Q7Z7F0,Mus musculus,Kiaa0907,UPF0469 protein KIAA0907 OS=Homo sapiens ,0
XP_004871210.1,Q92963,Mus musculus,Rit1,GTP-binding protein Rit1 OS=Homo sapiens ,8.00E-152
XP_004871209.1,Q9BT88,Mus musculus,Syt1,Synaptotagmin-11 OS=Homo sapiens GN=SYT11 ,4.00E-65
XP_004871208.1,Q9BT88,Mus musculus,Syt1,Synaptotagmin-11 OS=Homo sapiens GN=SYT11 ,2.00E-65
XP_004871201.1,Q3T8J9,Mus musculus,YY1AP1,GON-4-like protein OS=Homo sapiens GN=GON4L ,0
XP_004871186.1,P28783,Mus musculus,S100A9,Protein S100-A9 OS=Bos taurus GN=S100A9 ,2.00E-32
XP_004871159.1,P18422,Mus musculus,Psma3,Proteasome subunit alpha type-3 OS=Rattus ,2.00E-168
XP_004871158.1,P18422,Mus musculus,Psma3,Proteasome subunit alpha type-3 OS=Rattus ,1.00E-176
XP_004871150.1,Q9NVL8,Mus musculus,C14orf105,Uncharacterized protein C14orf105 OS=Homo ,2.00E-157
XP_004871148.1,Q9NVL8,Mus musculus,C14orf105,Uncharacterized protein C14orf105 OS=Homo ,3.00E-110
XP_004871146.1,Q9NVL8,Mus musculus,NAT12,Uncharacterized protein C14orf105 OS=Homo ,3.00E-112
XP_004871142.1,P32243,Mus musculus,otx2,Homeobox protein OTX2 OS=Homo sapiens GN=OTX2 ,3.00E-171
XP_004871138.1,Q9HAT8,Mus musculus,Peli2,Protein pellino homolog 2 OS=Homo sapiens ,0
XP_004871122.1,O15231,Mus musculus,Znf185,Zinc finger protein 185 OS=Homo sapiens ,1.00E-72
XP_004871110.1,Q6PAQ9,Mus musculus,PRRG3,Transmembrane gamma-carboxyglutamic acid ,1.00E-123
XP_004871109.1,Q6PAQ9,Mus musculus,PRRG3,Transmembrane gamma-carboxyglutamic acid ,1.00E-123
XP_004871108.1,Q6PAQ9,Mus musculus,PRRG3,Transmembrane gamma-carboxyglutamic acid ,1.00E-123
XP_004871103.1,P22304,Mus musculus,betC,Iduronate 2-sulfatase OS=Homo sapiens GN=IDS ,7.00E-28
XP_004871101.1,Q06787,Mus musculus,FMR1,Fragile X mental retardation 1 protein OS=Homo ,0
XP_004871100.1,Q06787,Mus musculus,FMR1,Fragile X mental retardation 1 protein OS=Homo ,0
XP_004871098.1,P35922,Mus musculus,FMR1,Fragile X mental retardation protein 1 homolog ,0
XP_004871097.1,P35922,Mus musculus,FMR1,Fragile X mental retardation protein 1 homolog ,0
XP_004871096.1,Q06787,Mus musculus,FMR1,Fragile X mental retardation 1 protein OS=Homo ,0
XP_004871094.1,Q06787,Mus musculus,FMR1,Fragile X mental retardation 1 protein OS=Homo ,0
XP_004871093.1,Q06787,Mus musculus,FMR1,Fragile X mental retardation 1 protein OS=Homo ,0
XP_004871092.1,Q9NYK1,Mus musculus,TLR9,Toll-like receptor 7 OS=Homo sapiens GN=TLR7 ,7.00E-177
XP_004871077.1,Q8N5Y2,Mus musculus,Msl3,Male-specific lethal 3 homolog OS=Homo ,0
XP_004871076.1,Q8N5Y2,Mus musculus,Msl3,Male-specific lethal 3 homolog OS=Homo ,0
XP_004871075.1,Q8N5Y2,Mus musculus,Msl3,Male-specific lethal 3 homolog OS=Homo ,0
XP_004871066.1,Q9NR97,Mus musculus,TLR9,Toll-like receptor 8 OS=Homo sapiens GN=TLR8 ,4.00E-137
XP_004871065.1,Q9NR97,Mus musculus,TLR9,Toll-like receptor 8 OS=Homo sapiens GN=TLR8 ,4.00E-137
XP_004871063.1,P62893,Mus musculus,Rpl39,60S ribosomal protein L39 OS=Rattus norvegicus ,2.00E-28
XP_004871055.1,O75665,Mus musculus,OFD1,Oral-facial-digital syndrome 1 protein OS=Homo ,0
XP_004871053.1,O75665,Mus musculus,TRAPPC2,Oral-facial-digital syndrome 1 protein OS=Homo ,2.00E-100
XP_004871051.1,Q9NWZ8,Mus musculus,Gemin8,Gem-associated protein 8 OS=Homo sapiens ,1.00E-83
XP_004871040.1,Q9UGF6,Mus musculus,Olfr1020,Olfactory receptor 5V1 OS=Homo sapiens ,4.00E-82
XP_004870996.1,Q8NGM9,Mus musculus,Olfr151,Olfactory receptor 8D4 OS=Homo sapiens ,1.00E-138
XP_004870992.1,Q8VEY3,Mus musculus,Olfr149,Olfactory receptor 958 OS=Mus musculus ,9.00E-131
XP_004870991.1,Q8VEY3,Mus musculus,Olfr149,Olfactory receptor 958 OS=Mus musculus ,8.00E-124
XP_004870990.1,Q8VEY3,Mus musculus,Olfr149,Olfactory receptor 958 OS=Mus musculus ,1.00E-132
XP_004870989.1,Q8NGN7,Mus musculus,Olfr958,Putative olfactory receptor 10D4 OS=Homo ,1.00E-146
XP_004870988.1,Q8NGN7,Mus musculus,Olfr958,Putative olfactory receptor 10D4 OS=Homo ,3.00E-147
XP_004870987.1,Q60887,Mus musculus,Olfr958,Olfactory receptor 148 OS=Mus musculus ,4.00E-115
XP_004870986.1,Q8NH80,Mus musculus,Olfr958,Putative olfactory receptor 10D3 OS=Homo ,0
XP_004870985.1,Q8NH80,Mus musculus,Olfr958,Putative olfactory receptor 10D3 OS=Homo ,0
XP_004870978.1,Q8NGG8,Mus musculus,Olfr147,Olfactory receptor 8B3 OS=Homo sapiens ,1.00E-149
XP_004870969.1,Q92673,Mus musculus,Sorl1,Sortilin-related receptor OS=Homo sapiens ,0
XP_004870940.1,Q9NY72,Mus musculus,Scn3b,Sodium channel subunit beta-3 OS=Homo sapiens ,1.00E-142
XP_004870939.1,Q9NY72,Mus musculus,Scn3b,Sodium channel subunit beta-3 OS=Homo sapiens ,1.00E-142
XP_004870922.1,Q60888,Mus musculus,Olfr958,Olfactory receptor 149 OS=Mus musculus ,5.00E-131
XP_004870920.1,Q60888,Mus musculus,Olfr958,Olfactory receptor 149 OS=Mus musculus ,7.00E-138
XP_004870919.1,Q8NG78,Mus musculus,Olfr150,Olfactory receptor 8G5 OS=Homo sapiens ,3.00E-151
XP_004870909.1,Q5R988,Mus musculus,Rap2a,Ras-related protein Rap-2a OS=Pongo abelii ,1.00E-85
XP_004870908.1,Q5R988,Mus musculus,Rap2a,Ras-related protein Rap-2a OS=Pongo abelii ,9.00E-122
XP_004870899.1,Q96P68,Mus musculus,Oxgr1,2-oxoglutarate receptor 1 OS=Homo sapiens ,0
XP_004870898.1,Q96P68,Mus musculus,Oxgr1,2-oxoglutarate receptor 1 OS=Homo sapiens ,0
XP_004870897.1,Q96P68,Mus musculus,Oxgr1,2-oxoglutarate receptor 1 OS=Homo sapiens ,0
XP_004870896.1,Q9QYK4,Mus musculus,HS6ST3,Heparan-sulfate 6-O-sulfotransferase 3 ,0
XP_004870894.1,Q86YF9,Mus musculus,Dzip1,Zinc finger protein DZIP1 OS=Homo sapiens ,0
XP_004870893.1,Q86YF9,Mus musculus,Dzip1,Zinc finger protein DZIP1 OS=Homo sapiens ,0
XP_004870891.1,Q5E9L0,Mus musculus,CLDN10,Claudin-10 OS=Bos taurus GN=CLDN10 PE=2 ,3.00E-72
XP_004870890.1,Q5E9L0,Mus musculus,CLDN10,Claudin-10 OS=Bos taurus GN=CLDN10 PE=2 ,2.00E-78
XP_004870889.1,Q5E9L0,Mus musculus,CLDN10,Claudin-10 OS=Bos taurus GN=CLDN10 PE=2 ,2.00E-122
XP_004870877.1,Q9Y651,Mus musculus,Sox21,Transcription factor SOX-21 OS=Homo sapiens ,2.00E-95
XP_004870876.1,Q9Y651,Mus musculus,Sox21,Transcription factor SOX-21 OS=Homo sapiens ,4.00E-98
XP_004870870.1,P46937,Mus musculus,Yap1,65 kDa Yes-associated protein OS=Homo sapiens ,4.00E-155
XP_004870867.1,P09238,Mus musculus,MMP3,Stromelysin-2 OS=Homo sapiens GN=MMP10 ,0
XP_004870852.1,P09237,Mus musculus,Mmp7,Matrilysin OS=Homo sapiens GN=MMP7 PE=1 ,2.00E-127
XP_004870847.1,P39900,Mus musculus,Mmp12,Macrophage metalloelastase OS=Homo sapiens ,4.00E-180
XP_004870846.1,O75376,Mus musculus,Ncor1,Nuclear receptor corepressor 1 OS=Homo ,0
XP_004870828.1,Q5M775,Mus musculus,CYTSA,Cytospin-B OS=Homo sapiens GN=CYTSB PE=1 ,0
XP_004870826.1,Q5M775,Mus musculus,CYTSA,Cytospin-B OS=Homo sapiens GN=CYTSB PE=1 ,0
XP_004870817.1,Q99PP9,Mus musculus,TRIM16,Tripartite motif-containing protein 16 ,0
XP_004870816.1,Q99PP9,Mus musculus,TRIM16,Tripartite motif-containing protein 16 ,0
XP_004870791.1,Q6IFN5,Mus musculus,OR7D4,Olfactory receptor 7E24 OS=Homo sapiens ,3.00E-107
XP_004870783.1,Q6IFN5,Mus musculus,OR7C2,Olfactory receptor 7E24 OS=Homo sapiens ,2.00E-115
XP_004870782.1,Q6IFN5,Mus musculus,OR7C1,Olfactory receptor 7E24 OS=Homo sapiens ,2.00E-113
XP_004870781.1,Q6IFN5,Mus musculus,OR7D4,Olfactory receptor 7E24 OS=Homo sapiens ,2.00E-119
XP_004870780.1,Q6IFN5,Mus musculus,OR7D4,Olfactory receptor 7E24 OS=Homo sapiens ,2.00E-112
XP_004870778.1,Q6IFN5,Mus musculus,OR7D4,Olfactory receptor 7E24 OS=Homo sapiens ,1.00E-109
XP_004870777.1,Q6IFN5,Mus musculus,OR7A10,Olfactory receptor 7E24 OS=Homo sapiens ,6.00E-115
XP_004870776.1,Q6IFN5,Mus musculus,OR7A2P,Olfactory receptor 7E24 OS=Homo sapiens ,3.00E-107
XP_004870774.1,Q6IFN5,Mus musculus,OR7A10,Olfactory receptor 7E24 OS=Homo sapiens ,8.00E-116
XP_004870773.1,Q6IFN5,Mus musculus,OR7C2,Olfactory receptor 7E24 OS=Homo sapiens ,9.00E-120
XP_004870768.1,Q6IFN5,Mus musculus,OR7D4,Olfactory receptor 7E24 OS=Homo sapiens ,9.00E-119
XP_004870765.1,Q6IFN5,Mus musculus,OR7A10,Olfactory receptor 7E24 OS=Homo sapiens ,2.00E-81
XP_004921262.1,Q08AF3,Mus musculus,Slfn5,Schlafen family member 5 OS=Homo sapiens ,2.00E-116
XP_004870749.1,Q6IEE7,Mus musculus,Tmem132e,Transmembrane protein 132E OS=Homo sapiens ,0
XP_004870742.1,Q15022,Mus musculus,Suz12,Polycomb protein SUZ12 OS=Homo sapiens ,0
XP_004870741.1,Q15022,Mus musculus,Suz12,Polycomb protein SUZ12 OS=Homo sapiens ,0
XP_004870740.1,Q8VCY6,Mus musculus,UTP6,U3 small nucleolar RNA-associated protein ,0
XP_004870738.1,P21359,Mus musculus,Nf1,Neurofibromin OS=Homo sapiens GN=NF1 PE=1 ,0
XP_004870730.1,Q78EG7,Mus musculus,PTP4A1,Protein tyrosine phosphatase type IVA 1 OS=Rattus ,4.00E-88
XP_004870729.1,Q78EG7,Mus musculus,PTP4A1,Protein tyrosine phosphatase type IVA 1 OS=Rattus ,6.00E-111
XP_004870717.1,Q8C1R3,Mus musculus,C17orf50,Uncharacterized protein C17orf50 homolog ,5.00E-43
XP_004870715.1,Q8NHY3,Mus musculus,Gas2,GAS2-like protein 2 OS=Homo sapiens GN=GAS2L2 ,3.00E-43
XP_004870691.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870690.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870689.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870688.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870687.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870686.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870685.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870684.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870683.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870682.1,P49916,Mus musculus,LIG,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 ,0
XP_004870671.1,Q925H0,Mus musculus,ACCN1,"Amiloride-sensitive cation channel 1, neuronal ",0
XP_004870651.1,Q9HAS0,Mus musculus,RHBDL3,Protein Njmu-R1 OS=Homo sapiens GN=C17orf75 ,0
XP_004870649.1,Q8R2V5,Mus musculus,ADAP2,Arf-GAP with dual PH domain-containing ,0
XP_004870648.1,Q8R2V5,Mus musculus,ADAP2,Arf-GAP with dual PH domain-containing ,0
XP_004870633.1,P55289,Mus musculus,CDH20,Cadherin-12 OS=Homo sapiens GN=CDH12 PE=1 ,5.00E-66
XP_004870632.1,P55289,Mus musculus,CDH6,Cadherin-12 OS=Homo sapiens GN=CDH12 PE=1 ,4.00E-116
XP_004870630.1,Q9Y6N8,Mus musculus,CDH10,Cadherin-10 OS=Homo sapiens GN=CDH10 PE=1 ,0
XP_004870629.1,Q9Y6N8,Mus musculus,CDH10,Cadherin-10 OS=Homo sapiens GN=CDH10 PE=1 ,0
XP_004870622.1,Q8WWA1,Mus musculus,Tmem40,Transmembrane protein 40 OS=Homo sapiens ,9.00E-61
XP_004870619.1,Q9QYZ3,Mus musculus,Smok3a,Sperm motility kinase 2B OS=Mus musculus ,7.00E-65
XP_004870609.1,Q14515,Mus musculus,Sparcl1,SPARC-like protein 1 OS=Homo sapiens GN=SPARCL1 ,0
XP_004870608.1,Q14515,Mus musculus,Sparcl1,SPARC-like protein 1 OS=Homo sapiens GN=SPARCL1 ,0
XP_004870598.1,Q9P2G9,Mus musculus,dbo,Kelch-like protein 8 OS=Homo sapiens GN=KLHL8 ,1.00E-107
XP_004870597.1,Q9P2G9,Mus musculus,dbo,Kelch-like protein 8 OS=Homo sapiens GN=KLHL8 ,5.00E-109
XP_004870596.1,Q9P2G9,Mus musculus,dbo,Kelch-like protein 8 OS=Homo sapiens GN=KLHL8 ,8.00E-138
XP_004870595.1,P51825,Mus musculus,Aff1,AF4/FMR2 family member 1 OS=Homo sapiens ,1.00E-130
XP_004870594.1,P51825,Mus musculus,Aff1,AF4/FMR2 family member 1 OS=Homo sapiens ,1.00E-130
XP_004870593.1,P51825,Mus musculus,Aff1,AF4/FMR2 family member 1 OS=Homo sapiens ,1.00E-130
XP_004870592.1,P51825,Mus musculus,Aff1,AF4/FMR2 family member 1 OS=Homo sapiens ,1.00E-130
XP_004870591.1,Q3KNW5,Mus musculus,Slc10a1,Solute carrier family 10 member 6 OS=Homo ,5.00E-55
XP_004870590.1,Q3KNW5,Mus musculus,Slc10a1,Solute carrier family 10 member 6 OS=Homo ,5.00E-55
XP_004870589.1,Q3KNW5,Mus musculus,Slc10a1,Solute carrier family 10 member 6 OS=Homo ,5.00E-55
XP_004870570.1,Q8R092,Mus musculus,C1orf43,Uncharacterized protein C1orf43 homolog ,3.00E-132
XP_004870569.1,Q8R092,Mus musculus,C1orf43,Uncharacterized protein C1orf43 homolog ,4.00E-167
XP_004870559.1,P62311,Mus musculus,LSM3,U6 snRNA-associated Sm-like protein LSm3 ,1.00E-50
XP_004870558.1,P62311,Mus musculus,LSM3,U6 snRNA-associated Sm-like protein LSm3 ,4.00E-46
XP_004870539.1,Q6PII3,Mus musculus,RCJMB04_26a16,Uncharacterized protein C3orf19 OS=Homo ,3.00E-134
XP_004870538.1,Q8ND61,Mus musculus,FGD5,Uncharacterized protein C3orf20 OS=Homo ,0
XP_004870535.1,P49117,Mus musculus,Nr2c2,Nuclear receptor subfamily 2 group C member ,0
XP_004870534.1,P49117,Mus musculus,NR2C2,Nuclear receptor subfamily 2 group C member ,0
XP_004870533.1,P49117,Mus musculus,NR2C2,Nuclear receptor subfamily 2 group C member ,0
XP_004870532.1,P49117,Mus musculus,Nr2c2,Nuclear receptor subfamily 2 group C member ,0
XP_004870531.1,P49117,Mus musculus,Nr2c2,Nuclear receptor subfamily 2 group C member ,0
XP_004870530.1,P49117,Mus musculus,Nr2c2,Nuclear receptor subfamily 2 group C member ,0
XP_004870529.1,P49117,Mus musculus,Nr2c2,Nuclear receptor subfamily 2 group C member ,0
XP_004870528.1,P49117,Mus musculus,Nr2c2,Nuclear receptor subfamily 2 group C member ,0
XP_004870527.1,P49117,Mus musculus,Nr2c2,Nuclear receptor subfamily 2 group C member ,0
XP_004870521.1,Q69ZZ6,Mus musculus,TMCC1,Transmembrane and coiled-coil domains protein ,0
XP_004870520.1,Q69ZZ6,Mus musculus,TMCC1,Transmembrane and coiled-coil domains protein ,0
XP_004870519.1,Q69ZZ6,Mus musculus,TMCC1,Transmembrane and coiled-coil domains protein ,0
XP_004870509.1,O95243,Mus musculus,Mecp2,Methyl-CpG-binding domain protein 4 OS=Homo ,3.00E-14
XP_004870508.1,O95243,Mus musculus,Mecp2,Methyl-CpG-binding domain protein 4 OS=Homo ,3.00E-14
XP_004870490.1,Q8IWB6,Mus musculus,Tex14,Testis-expressed protein 14 OS=Homo sapiens ,0
XP_004870489.1,Q8NEP4,Mus musculus,OR4D2,Uncharacterized protein C17orf47 OS=Homo ,6.00E-174
XP_004870479.1,Q9UMZ2,Mus musculus,R10E11.6,Synergin gamma OS=Homo sapiens GN=SYNRG ,6.00E-11
XP_004870464.1,Q9NY61,Mus musculus,AATF,Protein AATF OS=Homo sapiens GN=AATF PE=1 ,2.00E-109
XP_004870462.1,Q9NY61,Mus musculus,AATF,Protein AATF OS=Homo sapiens GN=AATF PE=1 ,4.00E-168
XP_004870451.1,Q96H55,Mus musculus,myo19,Myosin-XIX OS=Homo sapiens GN=MYO19 PE=2 ,0
XP_004870442.1,Q13207,Mus musculus,Tbx2,T-box transcription factor TBX2 OS=Homo ,0
XP_004870441.1,Q9H6U6,Mus musculus,CG32663,Breast carcinoma-amplified sequence 3 OS=Homo ,1.00E-131
XP_004870440.1,Q9H6U6,Mus musculus,CG32663,Breast carcinoma-amplified sequence 3 OS=Homo ,4.00E-131
XP_004870439.1,Q9H6U6,Mus musculus,CG32663,Breast carcinoma-amplified sequence 3 OS=Homo ,2.00E-131
XP_004870438.1,Q9H6U6,Mus musculus,CG32663,Breast carcinoma-amplified sequence 3 OS=Homo ,7.00E-131
XP_004870437.1,P70325,Mus musculus,Tbx5,T-box transcription factor TBX4 OS=Mus musculus ,3.00E-171
XP_004870436.1,P70325,Mus musculus,Tbx5,T-box transcription factor TBX4 OS=Mus musculus ,4.00E-172
XP_004870435.1,Q9H0H0,Mus musculus,Ints2,Integrator complex subunit 2 OS=Homo sapiens ,0
XP_004870434.1,Q5SWW4,Mus musculus,MED13,Mediator of RNA polymerase II transcription ,0
XP_004870412.1,Q5RDN9,Mus musculus,YPEL2,Protein yippee-like 2 OS=Pongo abelii GN=YPEL2 ,2.00E-86
XP_004870411.1,Q5RDN9,Mus musculus,YPEL2,Protein yippee-like 2 OS=Pongo abelii GN=YPEL2 ,2.00E-86
XP_004870408.1,Q96HE9,Mus musculus,Prr11,Proline-rich protein 11 OS=Homo sapiens ,2.00E-116
XP_004870407.1,Q8WY54,Mus musculus,Ppm1e,Protein phosphatase 1E OS=Homo sapiens ,0
XP_004870406.1,Q8WY54,Mus musculus,Ppm1e,Protein phosphatase 1E OS=Homo sapiens ,0
XP_004870391.1,Q9NYA4,Mus musculus,Mtmr4,Myotubularin-related protein 4 OS=Homo ,0
XP_004870390.1,Q9NYA4,Mus musculus,Mtmr4,Myotubularin-related protein 4 OS=Homo ,0
XP_004870389.1,Q9NYA4,Mus musculus,Mtmr4,Myotubularin-related protein 4 OS=Homo ,0
XP_004870388.1,Q9NYA4,Mus musculus,Mtmr4,Myotubularin-related protein 4 OS=Homo ,0
XP_004870386.1,Q68DV7,Mus musculus,Rnf43,RING finger protein 43 OS=Homo sapiens ,0
XP_004870385.1,Q68DV7,Mus musculus,Rnf43,RING finger protein 43 OS=Homo sapiens ,0
XP_004870384.1,Q4R941,Mus musculus,Supt4h2,Transcription elongation factor SPT4 OS=Macaca ,6.00E-82
XP_004870366.1,Q86Z14,Mus musculus,Kl,Beta-klotho OS=Homo sapiens GN=KLB PE=1 ,0
XP_004870361.1,Q8K442,Mus musculus,ABCA8,ATP-binding cassette sub-family A member ,0
XP_004870353.1,P35251,Mus musculus,Rfc1,Replication factor C subunit 1 OS=Homo sapiens ,0
XP_004870344.1,Q96MK3,Mus musculus,FAM20C,Protein FAM20A OS=Homo sapiens GN=FAM20A ,5.00E-147
XP_004870340.1,O15403,Mus musculus,Slc16a3,Monocarboxylate transporter 7 OS=Homo sapiens ,2.00E-52
XP_004870339.1,O15403,Mus musculus,Slc16a3,Monocarboxylate transporter 7 OS=Homo sapiens ,2.00E-52
XP_004870338.1,O15403,Mus musculus,Slc16a3,Monocarboxylate transporter 7 OS=Homo sapiens ,2.00E-52
XP_004870337.1,O15403,Mus musculus,Slc16a3,Monocarboxylate transporter 7 OS=Homo sapiens ,2.00E-52
XP_004870326.1,Q9Y2T1,Mus musculus,Axin2,Axin-2 OS=Homo sapiens GN=AXIN2 PE=1 SV=1,0
XP_004870325.1,Q9Y2T1,Mus musculus,Axin2,Axin-2 OS=Homo sapiens GN=AXIN2 PE=1 SV=1,0
XP_004870324.1,Q9Y2T1,Mus musculus,Axin2,Axin-2 OS=Homo sapiens GN=AXIN2 PE=1 SV=1,0
XP_004870323.1,Q9Y2T1,Mus musculus,Axin2,Axin-2 OS=Homo sapiens GN=AXIN2 PE=1 SV=1,0
XP_004870318.1,Q8VHW4,Mus musculus,Cacng5,Voltage-dependent calcium channel gamma-5 ,0
XP_004870313.1,Q8K4R4,Mus musculus,PITPNC1,Cytoplasmic phosphatidylinositol transfer ,2.00E-167
